Timestamp,Document Name,OCR Mode,Language,Engine Used,Fallback Used,Confidence,Processing Time (s)
2026-07-07 14:45:54,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,24.53%,2.53
2026-07-07 14:45:56,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,17.07%,2.40
2026-07-07 14:45:58,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,16.80%,2.39
2026-07-07 14:46:01,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,16.80%,2.47
2026-07-07 14:46:03,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,14.93%,2.47
2026-07-07 14:46:06,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,14.42%,2.58
2026-07-07 14:46:08,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,24.60%,2.54
2026-07-07 14:46:11,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,23.29%,2.64
2026-07-07 14:46:15,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,21.65%,3.53
2026-07-07 14:46:18,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,16.67%,2.94
2026-07-07 14:46:20,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,17.89%,2.70
2026-07-07 14:46:23,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,18.15%,2.48
2026-07-07 14:46:25,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,21.06%,2.44
2026-07-07 14:46:28,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,11.64%,2.57
2026-07-07 14:46:30,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,0.00%,2.17
2026-07-07 14:46:32,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,0.00%,2.21
2026-07-07 14:46:34,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,0.00%,2.16
2026-07-07 14:46:44,tel demo.jpg,Auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,44.80%,240.99
2026-07-07 14:48:14,unnamed_document,auto,Telugu,Custom AI,No,100.00%,1.18
2026-07-07 14:48:14,unnamed_document,mixed,Auto,handwritten,No,95.00%,0.03
2026-07-07 14:50:28,unnamed_document,auto,Telugu,Custom AI,No,100.00%,1.33
2026-07-07 14:50:28,unnamed_document,mixed,Auto,handwritten,No,95.00%,0.03
2026-07-07 14:56:23,unnamed_document,auto,Telugu,Custom AI,No,100.00%,1.87
2026-07-07 14:56:23,unnamed_document,mixed,Auto,handwritten,No,95.00%,0.04
2026-07-07 15:26:34,unnamed_document,auto,Telugu,Custom AI,No,100.00%,1.20
2026-07-07 15:26:34,unnamed_document,mixed,Auto,handwritten,No,95.00%,0.03
2026-07-07 15:28:48,unnamed_document,auto,Telugu,Custom AI,No,100.00%,2.32
2026-07-07 15:28:48,unnamed_document,mixed,Auto,handwritten,No,95.00%,0.08
2026-07-07 15:34:27,unnamed_document,auto,Telugu,Custom AI,No,100.00%,1.22
2026-07-07 15:34:27,unnamed_document,mixed,Auto,handwritten,No,95.00%,0.04
2026-07-07 15:40:07,unnamed_document,auto,Telugu,Custom AI,No,100.00%,1.97
2026-07-07 15:40:07,unnamed_document,mixed,Auto,handwritten,No,95.00%,0.06
2026-07-07 15:42:37,unnamed_document,auto,Telugu,Custom AI,No,100.00%,1.34
2026-07-07 15:42:38,unnamed_document,mixed,Auto,handwritten,No,95.00%,0.05
2026-07-07 16:09:07,WhatsApp Image 2026-07-07 at 3.48.52 PM.jpeg,Auto,Telugu,Ensemble (PaddleOCR+Tesseract),Yes,44.16%,41.07
2026-07-07 16:14:19,WhatsApp Image 2026-07-07 at 3.48.53 PM.jpeg,Auto,Telugu,Ensemble (PaddleOCR+Tesseract+EasyOCR),Yes,25.89%,101.54
2026-07-07 16:40:39,JOSHITHA.pdf_page_1,Auto,Telugu,Ensemble (PaddleOCR+EasyOCR),Yes,49.71%,251.71
2026-07-07 16:46:21,transcript......pdf_page_1,Auto,Telugu,Ensemble (PaddleOCR+Tesseract),Yes,52.67%,180.73
2026-07-07 16:51:26,transcript......pdf_page_1,Printed,English,PaddleOCR,No,98.63%,34.35
2026-07-07 19:45:23,telugu.jpg,Handwritten,Telugu,Ensemble (Custom AI+PaddleOCR+Tesseract+EasyOCR),Yes,32.65%,111.47
2026-07-07 20:09:03,hindi.jpg,Handwritten,Hindi,PaddleOCR,Yes,88.93%,72.79
2026-07-07 20:11:11,hindi.jpg,Handwritten,Hindi,PaddleOCR,Yes,88.93%,57.55
2026-07-07 20:14:20,telugu handwritten demo.jpg,Auto,Telugu,Tesseract,Yes,93.50%,30.89
2026-07-07 22:02:33,telugu.jpg,Auto,Telugu,PaddleOCR,Yes,90.52%,68.92
2026-07-07 22:04:48,WhatsApp Image 2026-07-07 at 3.48.53 PM.jpeg,Handwritten,Hindi,PaddleOCR,Yes,59.99%,29.88
2026-07-07 22:06:47,WhatsApp Image 2026-07-07 at 3.48.52 PM.jpeg,Handwritten,Telugu,PaddleOCR,Yes,88.32%,36.54
2026-07-07 22:10:56,hindi greeting.jpeg,Auto,Hindi,PaddleOCR,Yes,86.46%,5.80
